dataset,scope,entity,period_start,period_end,metric,value,unit,source_url,source_note
live_dashboard_2026,Department,Administrative Reforms and Public Grievances - PG Division,2026-01-01,2026-08-24,received,6447,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,Administrative Reforms and Public Grievances - PG Division,2026-01-01,2026-08-24,disposed,6392,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,Administrative Reforms and Public Grievances - PG Division,2026-01-01,2026-08-24,percent_disposed,99.15,percent,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,Administrative Reforms and Public Grievances - PG Division,2026-01-01,2026-08-24,pending_0_60_days,52,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,Administrative Reforms and Public Grievances - PG Division,2026-01-01,2026-08-24,pending_60_180_days,3,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,Administrative Reforms and Public Grievances - PG Division,2026-01-01,2026-08-24,pending_180_365_days,0,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,Administrative Reforms and Public Grievances - PG Division,2026-01-01,2026-08-24,pending_more_than_1_year,0,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,Ayush,2026-01-01,2026-08-24,received,2427,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,Ayush,2026-01-01,2026-08-24,disposed,2402,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,Ayush,2026-01-01,2026-08-24,percent_disposed,98.97,percent,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,Ayush,2026-01-01,2026-08-24,pending_0_60_days,25,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,Ayush,2026-01-01,2026-08-24,pending_60_180_days,0,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,Ayush,2026-01-01,2026-08-24,pending_180_365_days,0,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,Ayush,2026-01-01,2026-08-24,pending_more_than_1_year,0,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,O/o the Comptroller & Auditor General of India,2026-01-01,2026-08-24,received,1669,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,O/o the Comptroller & Auditor General of India,2026-01-01,2026-08-24,disposed,1564,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,O/o the Comptroller & Auditor General of India,2026-01-01,2026-08-24,percent_disposed,93.71,percent,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,O/o the Comptroller & Auditor General of India,2026-01-01,2026-08-24,pending_0_60_days,98,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,O/o the Comptroller & Auditor General of India,2026-01-01,2026-08-24,pending_60_180_days,5,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
live_dashboard_2026,Department,O/o the Comptroller & Auditor General of India,2026-01-01,2026-08-24,pending_180_365_days,2,count,https://pgportal.gov.in/darpgdashboard,Official CPGRAMS live dashboard; disposals include carry-forward receipts from previous year(s).
